Country,Code,Region,Sub-Region,Year,Status,Income classifications,Life expectancy,Population,GDP Per Capita,"GNI per capita, PPP ($)",Total expenditure,Adult Mortality,infant deaths,Alcohol,health expenditure per capita $,health expenditure % of GDP,Hepatitis B (% of one-year-olds immunized),Polio (% of one-year-olds immunized),Measles per 1000,Measles MCV1 (% of one-year-olds immunized),under-five deaths,"Diphtheria, Pertussis, Tentanus (% of one-year-olds immunized)", HIV/AIDS, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Alcohol use disorders  (%),Drug use disorders (%),Avg Total Years of Schooling for Adult,"Government expenditure on education, total (% of GDP)",Mental disorders (%),obesity among adults (%),Gini coefficient,daily smoking in populations aged 10 and older (%),Neoplasms (Percent),Deaths - HIV/AIDS
Afghanistan,AFG,Asia,Southern Asia,2000,Developing,Low income,54.8,19542986,,,8.2,321,88,0.01,,,62,24,6532,27,122,24,0.1,2.3,2.5,0.338,0.44,0.42,2.2,,17.94,1.9,,10.232,0.502297156,0.04
Afghanistan,AFG,Asia,Southern Asia,2001,Developing,Low income,55.3,19688634,,,7.8,316,88,0.01,,,63,35,8762,37,122,33,0.1,2.1,2.4,0.34,0.44,0.43,2.2,,17.93,2,,,0.508535544,0.04
Afghanistan,AFG,Asia,Southern Asia,2002,Developing,Low income,56.2,21000258,183.5327752,,7.76,3,88,0.01,17.01,9.44,64,36,2486,35,122,36,0.1,19.9,2.2,0.341,0.44,0.44,2.3,,17.92,2.1,,,0.512109917,0.04
Afghanistan,AFG,Asia,Southern Asia,2003,Developing,Low income,56.7,22645136,200.4625667,,8.82,295,87,0.01,17.81,8.94,65,41,798,39,122,41,0.1,19.7,19.9,0.373,0.44,0.45,2.4,,17.89,2.2,,,0.515964883,0.05
Afghanistan,AFG,Asia,Southern Asia,2004,Developing,Low income,57,23553554,221.6576042,,8.79,293,87,0.02,21.43,9.81,67,50,466,48,120,50,0.1,19.5,19.7,0.381,0.44,0.47,2.5,,17.86,2.3,,,0.520604431,0.05
Afghanistan,AFG,Asia,Southern Asia,2005,Developing,Low income,57.3,24411196,255.05512,,8.7,291,85,0.02,25.11,9.95,66,58,1296,50,118,58,0.1,19.3,19.5,0.396,0.44,0.48,2.6,,17.82,2.5,,10.418,0.521161471,0.05
Afghanistan,AFG,Asia,Southern Asia,2006,Developing,Low income,57.3,25442946,274.0004865,,7.43,295,84,0.03,28.92,10.62,64,58,1990,53,116,58,0.1,19.2,19.3,0.405,0.44,0.5,2.7,,17.77,2.6,,,0.522291411,0.06
Afghanistan,AFG,Asia,Southern Asia,2007,Developing,Low income,57.5,25903306,375.0781281,,6.73,295,82,0.02,32.72,9.9,63,63,1141,55,113,63,0.1,19,19.1,0.415,0.44,0.51,2.9,,17.69,2.8,,,0.525350132,0.06
Afghanistan,AFG,Asia,Southern Asia,2008,Developing,Low income,58.1,26427204,387.8491743,,8.33,287,80,0.03,39.97,10.26,64,64,1599,59,110,64,0.1,18.8,18.9,0.433,0.44,0.52,3,,17.58,2.9,,,0.526510633,0.07
Afghanistan,AFG,Asia,Southern Asia,2009,Developing,Low income,58.6,27385310,443.8451505,,9.42,281,77,0.01,43.26,9.82,63,63,2861,60,106,63,0.1,18.6,18.7,0.434,0.44,0.54,3.1,,17.48,3.1,,,0.526566856,0.07
Afghanistan,AFG,Asia,Southern Asia,2010,Developing,Low income,58.8,28189672,554.5952002,,9.2,279,74,0.01,46.58,8.57,66,66,1989,62,102,66,0.1,18.4,18.4,0.448,0.44,0.54,3.2,3.479449987,17.4,3.3,,10.374,0.527335169,0.08
Afghanistan,AFG,Asia,Southern Asia,2011,Developing,Low income,59.2,29249156,621.9123109,,7.87,275,71,0.01,52.36,8.56,68,68,3013,64,97,68,0.1,18.2,18.2,0.454,0.44,0.55,3.3,3.462009907,17.32,3.5,,,0.527810158,0.08
Afghanistan,AFG,Asia,Southern Asia,2012,Developing,Low income,59.5,30466484,663.1410528,,8.52,272,69,0.01,52.61,7.9,67,67,2787,59,93,67,0.1,17.9,18,0.463,0.44,0.55,3.4,,17.26,3.7,,,0.52784902,0.08
Afghanistan,AFG,Asia,Southern Asia,2013,Developing,Low income,59.9,31541216,651.9878619,,8.13,268,66,0.01,56.31,8.81,64,64,430,57,89,64,0.1,17.7,17.7,0.47,0.44,0.56,3.5,3.454459906,17.2,3.9,,,0.528804385,0.09
Afghanistan,AFG,Asia,Southern Asia,2014,Developing,Low income,59.9,32716214,628.1468039,,8.18,271,64,0.01,60.19,9.53,62,62,492,60,86,62,0.1,17.5,17.5,0.476,0.43,0.56,3.5,3.695219994,17.15,4.1,,,0.528676177,0.09
Afghanistan,AFG,Asia,Southern Asia,2015,Developing,Low income,65,33753500,592.4765375,,8.16,263,62,0.01,60.06,10.11,64,67,1154,62,83,64,0.1,17.2,17.3,0.479,0.43,0.56,3.6,3.255800009,17.13,4.3,,,0.52697918,0.09
Albania,ALB,Europe,Southern Europe,2000,Developing,Lower-middle income,72.6,3182027,1126.68334,6065.195313,6.26,11,1,3.66,65.15,5.94,96,97,662,95,1,97,0.1,2.1,2.2,0.656,1.73,0.46,8.8,3.430170059,11.72,12.8,,16.931,0.87678883,0.01
